,Domain_Name,Organization_Name
55,agmaha.cag.gov.in,"Accountant General, Maharashtra"
56,agmarknet.gov.in,Agriculture Marketing Information System Network (AGMARKNET)
57,agmegh.cag.gov.in,"Accountant General, Meghalaya"
58,agmp.cag.gov.in,"Accountant General, Madhya Pradesh"
59,agmpr.cag.gov.in,"Accountant General, Manipur"
60,agnii.gov.in,AGNIi - Accelerating Growth of New India’s Innovations
61,agnl.cag.gov.in,"Accountant General, Nagaland"
62,agodi.cag.gov.in,"Accountant General, Odisha"
63,agodisha.gov.in,"Accountants General, Odisha"
64,agpunjab.gov.in,"Accountant General, Punjab and Chandigarh (UT)"
65,agraj.cag.gov.in,"Accountant General, Rajasthan"
66,agricoop.gov.in,"Department of Agriculture, Cooperation and Farmers Welfare"
67,agriexchange.apeda.gov.in,"agriXchange -  Agricultural and Processed Food Products Export Development Authority (APEDA), New Delhi"
68,agrinnovateindia.co.in,Agrinnovate India
69,agskm.cag.gov.in,"Accountant General, Sikkim"
70,agtn.cag.gov.in,"Accountant General, Tamil Nadu"
71,agtrp.cag.gov.in,"Accountant General, Tripura"
72,agua.cag.gov.in,"Accountant General, Uttarakhand"
73,agup.cag.gov.in,"Accountant General , Uttar Pradesh"
74,agup.gov.in,"Accountant General, Uttar Pradesh and Uttaranchal"
75,agwb.cag.gov.in,"Accountants General, West Bengal"
76,ahmedabadcustoms.gov.in,Ahmedabad Customs
77,aicte-india.org,All India Council of Technical Education (AICTE)
78,aiihph.gov.in,All India Institute of Hygiene and Public Health (AIIH and PH)
79,aiims.edu,All India Institute of Medical Sciences (AIIMS)
80,aiimsbhopal.edu.in,"All India Institute of Medical Sciences (AIIMS), Bhopal"
81,aiimsbhubaneswar.edu.in,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar"
82,aiimsjodhpur.edu.in,"All India Institute of Medical Sciences (AIIMS), Jodhpur"
83,aiimspatna.org,"All India Institute of Medical Sciences (AIIMS), Patna"
84,aiimsraipur.edu.in,"All India Institute of Medical Sciences (AIIMS), Raipur"
85,aiimsrishikesh.edu.in,"All India Institute of Medical Sciences (AIIMS), Rishikesh"
86,aiipmr.gov.in,"All India Institute of Physical Medicine and Rehabilitation, Mumbai"
87,aiishmysore.in,"All India Institute of Speech and Hearing (AIISH), Mysore"
88,aim.gov.in,Atal Innovation Mission (AIM) by NITI Aayog
89,aipmt.nic.in,All India Pre-Medical and Pre-Dental Entrance Examination
90,aipvt.vci.nic.in,All India Pre-Veterinary Test (AIPVT) conducted by Veterinary Council of India (VCI)
91,airguwahati.gov.in,"All India Radio (AIR), Guwahati"
92,airindia.in,Air India Limited
93,airmenselection.gov.in,Central Airmen Selection Board (CASB)
94,airnsd.nic.in,News on AIR - Prasar Bharati
95,airpanaji.gov.in,"All India Radio (AIR), Panaji"
96,airsewa.gov.in,"AirSewa - Online Flight Details, Airport Information and Grievance Redressal"
97,aishe.nic.in,All India Survey on Higher Education
98,aistic.gov.in,"ASEAN-India Science, Technology & Innovation Cooperation, established jointly by MEA and DST"
99,akshayaposhan.gov.in,"Nutrition Resource Platform (NRP), Child Development and Nutrition Bureau"
100,alimco.in,"Artificial Limbs Manufacturing Corporation of India (ALIMCO), Kanpur, Uttar Pradesh"
101,allduniv.ac.in,University of Allahabad
102,allindiaradio.gov.in,All India Radio (AIR)
103,alttc.bsnl.co.in,Advanced Level Telecommunication Training Centre (ALTTC)
104,am.bsf.gov.in,"Assam and Meghalaya Frontier, Border Security Force (BSF)"
105,ambedkarfoundation.nic.in,Dr. Ambedkar Foundation
106,amd.gov.in,Atomic Minerals Directorate (AMD)
107,ampri.res.in,Advanced Materials and Processes Research Institute
108,amritsarcustoms.gov.in,"Customs Commissionerate Preventive, Amritsar"
109,amrut.gov.in,"Atal Mission for Rejuvenation and Urban Transformation (AMRUT), Govt. of India"
110,amssdelhi.gov.in,"Regional Meteorological Centre, New Delhi"
111,amu.ac.in,Aligarh Muslim University (AMU)
112,andaman-nicobar.bsnl.co.in,Andaman and Nicobar Telecom Circle
113,andrewyule.com,Andrew Yule Group
114,andssw1.and.nic.in,Andaman Lakshadweep Harbour Works (ALHW)
115,annavitran.nic.in,Annavitran - ePDS: Distribution of Food Grains Through Automated
116,ansi.gov.in,Anthropological Survey of India
117,antiragging.in,National Anti-Ragging Portal by University Grants Commission (UGC)
118,antrix.gov.in,Antrix Corporation Limited
119,ap.bsnl.co.in,Andhra Pradesh Telecom Circle
120,ap.nic.in,"Andhra Pradesh State Centre, National Informatics Centre (NIC)"
121,apcustoms.gov.in,"Customs Preventive Commissionerate, Vijayawada, Central Board of Excise and Customs"
122,apdrp.gov.in,"Restructured Accelerated Power Development and Reforms Programme (R-APDRP), Delhi"
123,apeda.gov.in,Agricultural and Processed Food Products Export Development Authority
124,apexhitech.gov.in,"Apex Hi-Tech Institute, Bangalore"
125,appcb.ap.nic.in,Andhra Pradesh Pollution Control Board
126,appost.in,"AP Postal Circle, Department of Posts"
127,apprentice-engineer.com,"Board of Apprenticeship Training, Western Region - eGovernance Portal"
128,arc.gov.in,2nd Administrative Reforms Commission (ARC)
129,arci.res.in,International Advanced Research Centre for Powder Metallurgy and New Materials
130,aries.res.in,Aryabhatta Research Institute of Observational Sciences (ARIES)
131,ariia.gov.in,Atal Ranking of Institutions on Innovation Achievements (ARIIA)
132,aripune.org,Agharkar Research Institute (ARI)
133,armyrecruitmentmp.nic.in,Headquarters Recruiting Zone Madhya Pradesh and Chhattisgarh
134,asi.nic.in,Archaeological Survey of India (ASI)
135,asiagracircle.in,"Archaeological Survey of India (ASI), Agra Circle"
136,asiaurangabad.in,"Archaeological Survey of India (ASI), Aurangabad Circle"
137,asibbsrcircle.in,"Archaeological Survey of India(ASI), Bhubaneswar Circle"
138,asibhopal.nic.in,"Archaeological Survey of India (ASI), Bhopal"
139,asichennai.gov.in,"Archaeological Survey of India (ASI), Chennai Circle"
140,asidehraduncircle.in,"Archaeological Survey of India (ASI), Dehradun Circle"
141,asidelhicircle.in,"Archaeological Survey of India (ASI), Delhi Circle"
142,asiegov.gov.in,"eGov Applications, Archaeological Survey of India (ASI)"
143,asiguwahaticircle.gov.in,"Archaeological Survey of India, Guwahati Circle"
144,asijaipurcircle.nic.in,"Archaeological Survey of India, Jaipur Circle"
145,asilucknowcircle.nic.in,"Archaeological Survey of India (ASI), Lucknow Circle"
146,asimumbaicircle.com,"Archaeological Survey of India (ASI), Mumbai Circle"
147,asipatnacircle.gov.in,"Archaeological Survey of India (ASI), Patna Circle"
148,asiranchi.org,"Archaeological Survey of India (ASI), Ranchi Circle"
149,asithrissurcircle.in,"Archaeological Survey of India (ASI), Thrissur Circle"
150,asrb.org.in,"Agricultural Scientists Recruitment Board (ASRB), New Delhi"
151,assam.bsnl.co.in,Assam Telecom Circle
152,assampost.gov.in,Assam Post Circle
153,assamrifles.gov.in,Assam Rifles
154,atfp.gov.in,Appellate Tribunal for Forfeited Property (ATFP)
155,atic-icarneh.nic.in,Agricultural Technology Information Centre (ATIC)
156,atiepidehradun.gov.in,"Advanced Training Institute for Electronics and Process Instrumentation, Dehradun"
157,atiepihyderabad.gov.in,"Advanced Training Institute for Electronics and Process Instrumentation, Hyderabad"
158,atihyderabad.ap.nic.in,"Advanced Training Institute (ATI), Hyderabad"
159,atimumbai.gov.in,"Advanced Training Institute, Mumbai"
160,attendance.gov.in,Aadhaar Enabled Biometric Attendance System (AEBAS)
161,attindiatourism.com,"India Tourism Development Corporation (ITDC), New Delhi"
162,aus.ac.in,Assam University
163,awbi.in,Animal Welfare Board of India (AWBI)
164,ayjnihh.nic.in,Ali Yavar Jung National Institute for the Hearing Handicapped (AYJNIHH)
165,ayurveduniversity.edu.in,Institute of Post Graduate Teaching and Research in Ayurveda
166,ayush.gov.in,Ministry of AYUSH
167,balmerlawrie.com,Balmer Lawrie and Company Limited
168,bangalorecustoms.gov.in,Bangalore Customs
169,bangaloretelecom.com,Bangalore Telecom District
170,barc.gov.in,Bhabha Atomic Research Centre (BARC)
171,bbjconst.com,"Braithwaite, Burn and  Jessop Construction Company Limited, West bengal"
172,bbmb.gov.in,Bhakra Beas Management Board (BBMB)
173,bbnl.nic.in,Bharat Broadband Network Limited (BBNL)
174,bbs.stpi.in,"Software Technology Parks of India (STPI), Bhubaneswar, Odisha"
175,bcasindia.gov.in,Bureau of Civil Aviation Security (BCAS)
176,bcb.gov.in,Bansagar Control Board (BCB)
177,bcil.nic.in,Biotech Consortium India Limited (BCIL)
178,bcplonline.co.in,"Brahmaputra Cracker and Polymer Limited (BCPL), Guwahati, Assam"
179,bdl-india.com,Bharat Dynamics Limited (BDL)
180,becil.com,Broadcasting Engineering Corporation of India Limited (BECIL)
181,beeindia.gov.in,Bureau of Energy Efficiency (BEE)
182,bel-india.com,Bharat Electronics Limited (BEL)
183,bemlindia.in,Bharat Earth Movers Limited (BEML)
184,bengalchemicals.gov.in,Bengal Chemicals and Pharmaceuticals Limited (BCPL)
185,bharat.gov.in,National Portal of India (Hindi Version)
186,bharatgeohub.gov.in,Survey of India GeoHub - Open GIS Data & the Tools to Visualize It
187,bharatkeveer.gov.in,Bharat Ke Veer - Make a contribution in honour of Indian Bravehearts
188,bharatkosh.gov.in,"Non-Tax Receipt Portal (NTRP), Controller General of Accounts"
189,bharatnirman-davp.gov.in,Bharat Nirman -  Directorate of Advertising and Visual Publicity (DAVP)
190,bharatpetroleum.in,Bharat Petroleum Corporation Limited (BPCL)
191,bharatskills.gov.in,Bharat Skills - a seamless platform for students and trainers of Industrial Training Institutes (ITIs)
192,bharatwagon.bih.nic.in,"Bharat Wagon and Engineering Company Limited (BWEL), Bihar"
193,bhavini.nic.in,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)
194,bhel.com,Bharat Heavy Electricals Limited (BHEL)
195,bhelbpl.co.in,"Bharat Heavy Electricals Limited(BHEL), Bhopal"
196,bhelceramics.com,"Bharat Heavy Electricals Limited (BHEL), Ceramic Business Unit, Bangalore"
197,bheledn.com,"Bharat Heavy Electricals Limited (BHEL), Electronics Division, Bangalore"
198,bhelherp.com,"Heavy Equipment Repair Plant, Bharat Heavy Electricals Limited (BHEL)"
199,bhelhwr.co.in,"Bharat Heavy Electricals Limited (BHEL), Haridwar"
200,bhelisg.com,"Bharat Heavy Electricals Limited (BHEL), Industrial Systems Group, Bangalore"
201,bheljhs.co.in,"Bharat Heavy Electricals Limited, Jhansi"
202,bhelpem.com,Bharat Heavy Electricals Limited(BHEL) - Project Engineering Management (PEM)
203,bhelpssr.co.in,"Bharat Heavy Electricals Limited (BHEL), Power Sector – Southern Region, Chennai"
204,bhelpswr.co.in,"Bharat Heavy Electricals Limited (BHEL), Power Sector  Western Region, Nagpur"
205,bheltry.co.in,"Bharat Heavy Electricals Limited(BHEL), Trichy"
206,bhilai.stpi.in,"Software Technology Parks of India (STPI), Bhilai, Chhattisgarh"
207,bhu.ac.in,"Institute of Medical Sciences,Banaras Hindu University, Varanasi"
208,bhuvan.nrsc.gov.in,Bhuvan - Gateway of Indian Earth Observation
209,bibcol.com,"Bharat Immunologicals and Biologicals Corporation Limited (BIBCOL), Uttar Pradesh"
210,bicnirrh.res.in,"Biomedical Informatics Centre, National Institute for Research in Reproductive Health (NIRRH)"
211,biecco.co.in,Biecco Lawrie Limited
212,bifr.nic.in,Board for Industrial and Financial Reconstruction (BIFR)
213,bihar.bsnl.co.in,Bihar Telecom Circle
214,bioinfcpcri.org,"Library and Bioinformatics Centre, CPCRI"
215,birac.nic.in,"Biotechnology Industry Research Assistance Council (BIRAC), New Delhi"
216,birdgroup.gov.in,Bird Group of Companies
217,bis.gov.in,Bureau of Indian Standards (BIS)
218,bla.bsf.gov.in,"Mizoram and Cachar Frontier, Border Security Force (BSF)"
219,blinv.com,"Balmer Lawrie Investments Limited, Kolkata"
220,blr.stpi.in,"Software Technology Parks of India (STPI), Bangalore, Karnataka"
221,bmrc.co.in,"Bangalore Metro Rail Corporation Limited, ShanthiNagar, Bangalore"
222,bmtpc.org,Building Materials and Technology Promotion Council (BMTPC)
223,bmwmindia.org,"Healthcare Establishment Waste Management and Education Programme (HEWMEP), CEE, New Delhi"
224,bnhsenvis.nic.in,"ENVIS Centre on Avian Ecology, Bombay Natural History Society (BNHS), Mumbai"
225,boatnr.org,"Board Of Apprenticeship Training, Northern Region, Kanpur"
226,boatsr-apprentice.tn.nic.in,"Board of Apprenticeship Training (Southern Region), Chennai"
227,boi.gov.in,"Bureau of Immigration (BoI), Ministry of Home Affairs"
228,booksaistadia.gov.in,Online Stadia Booking System by  Sports Authority of India (SAI)
229,bopter.gov.in,"Board of Practical Training (BOPT), Easter Region"
230,bpcnaini.co.in,"Bharat Pumps and Compressors Limited, Allahabad"
231,bprd.nic.in,Bureau of Police Research and Development (BPR&D)
232,bpu.res.in,"Bio-Processing Unit (BPU), Mohali, Punjab"
233,brahmaputraboard.gov.in,"Brahmaputra Board Guwahati, Assam"
234,braithwaiteindia.com,"Braithwaite and Co Limited, Ministry of Railways"
235,brb.nic.in,"Betwa River Board (BRB), Ministry of Water Resources, River Development and Ganga Rejuvenation"
236,brbraitt.bsnl.co.in,"Bharat Ratna Bhim Rao Ambedkar Institute of Telecom Training (BRBRAITT), Jabalpur"
237,brics2016.gov.in,"BRICS, 8th Summit, 15-16 October 2016, Goa, India"
238,bridgeroof.co.in,Bridge and Roof Company (India) Limited
239,briks.gov.in,"National Buildings Organisation (NBO), Building Related Information and Knowledge System"
240,britatom.gov.in,Board of Radiation and Isotope Technology (BRIT)
241,bro.gov.in,Border Roads Organisation (BRO)
242,broadcastseva.gov.in,Broadcast Seva Portal by  Ministry of Information and Broadcasting
243,bsf.gov.in,Border Security Force (BSF)
244,bsi.gov.in,Botanical Survey of India (BSI)
245,bsienvis.nic.in,"ENVIS Centre on Floral Diversity, Botanical Survey of India, West Bengal"
246,bsip.res.in,Birbal Sahni Institute of Palaeobotany
247,bsnl.co.in,Bharat Sanchar Nigam Limited Portal(BSNL)
248,bsu.bih.nic.in,"Bihar State Centre, National Informatics Centre (NIC)"
249,btisnet.gov.in,Biotechnology Information System Network (BTISNET)
250,btsso.gov.in,"Basic Tasar Silkworm Seed Organisation (BTSSO), Central Silk Board, Bilaspur, Chhattisgarh"
251,budgetlive.nic.in,Webcast of Hon'ble Finance Minister's Presentation of Union Budget in the Parliament
252,burnstandard.com,Burn Standard Company Limited (BSCL)
253,buvik.gov.in,"Bureau of Naviks (BUVIK),  Indian Coast Guard"
254,bvfcl.com,Brahmaputra Valley Fertilizer Corporation Limited (BVFCL)
255,caa.gov.in,Coastal Aquaculture Authority
256,cab.rbi.org.in,College of Agricultural Banking (CAB)
257,cabsec.gov.in,Cabinet Secretariat
258,cac.gov.in,Chief Adviser Cost
259,cachennai.gov.in,"Competent Authority (CA), Chennai"
260,cacp.dacnet.nic.in,Commission for Agricultural Costs and Prices (CACP)
261,cag.gov.in,"Comptroller and Auditor General (CAG) of India, Indian Audit and Accounts Department"
262,cairs.nic.in,"Chemical Accident Information and Reporting System (CAIRS), Delhi"
263,calcutta.bsnl.co.in,Kolkata Telephone Circle
264,caneinfo.icar.gov.in,"CaneInfo, Sugarcane Breeding Institute (SBI)"
265,canttboardjabalpur.org.in,"Cantonment Board, Jabalpur, Madhya Pradesh"
266,canttboardpachmarhi.org,"Cantonment Board, Pachmarhi, Madhya Pradesh"
267,caomod.gov.in,"Chief Administrative Officer, Ministry of Defence (CAOMOD)"
268,capart.nic.in,Council for Advancement of Peoples Action and Rural Technology (CAPART)
269,cara.nic.in,"Central Adoption Resource Authority (CARA), New Delhi"
270,careerairforce.gov.in,Indian Air Force - A Career Opportunity
271,casestatus.gov.in,Registrar of Newspapers for India - Online Application and Registration Status
272,cashlessindia.gov.in,Cashless India: Digital Payment Methods
273,casmbenvis.nic.in,ENVIS Centre Centre for Advanced Study in Marine Biology (CASMB)
274,cau.ac.in,"Central Agricultural University, Imphal, Manipur"
275,cazri.res.in,Central Arid Zone Research Institute (CAZRI)
276,cbaurangabad.in,"Cantonment Board, Aurangabad, Maharashtra"
277,cbdelhi.in,"Cantonment Board, Delhi"
278,cbdeolali.org.in,"Cantonment Board, Deolali, Maharashtra"
279,cbec-gst.gov.in,"Goods and Services Tax (GST), Central Board of Excise and Customs (CBEC)"
280,cbecddm.gov.in,"Directorate of Data Management, Central Board of Excise and Customs (CBECDDM), New Delhi"
281,cbfaizabad.org.in,"Cantonment Board, Faizabad, Uttar Pradesh"
282,cbfatehgarh.org.in,"Cantonment Board, Fatehgarh, Uttar Pradesh"
283,cbfcindia.gov.in,"Central Board of Film Certification (CBFC), Chennai"
284,cbhi-hsprod.nic.in,"Health Sector Policy Reform Options Darabase, Central Bureau of Health Intelligence (HS - PROD), New Delhi"
285,cbhidghs.gov.in,"Central Bureau of Health Intelligence, New Delhi"
286,cbi.gov.in,Central Bureau of Investigation (CBI)
287,cbiacademy.gov.in,"CBI Academy, Ghaziabad, Uttar Pradesh"
288,cbic-gst.gov.in,GST portal of Central Board of Indirect Taxes and Customs (CBIC)
289,cbic.gov.in,Central Board of Indirect Taxes and Customs (CBIC)
290,cbjalandhar.org.in,"Cantonment Board, Jalandhar, Punjab"
291,cbkamptee.org,"Cantonment Board, Kamptee, Maharashtra"
292,cbkanpur.org.in,"Cantonment Board, Kanpur, Uttar Pradesh"
293,cblucknow.org.in,"Cantonment Board, Lucknow, Uttar Pradesh"
294,cbn.nic.in,Central Bureau of Narcotics
295,cbri.res.in,Central Building Research Institute (CBRI)
296,cbrienvis.nic.in,"ENVIS Centre at Central Building Research Institute (CBRI), Roorkee"
297,cbse.gov.in,Central Board of Secondary Education (CBSE)
298,cbseaff.nic.in,eAffiliation System for School - Central Board of Secondary Education (CBSE)
299,cbseresults.nic.in,CBSE Exam Results
300,cbshillong.org.in,"Cantonment Board, Shillong, Meghalaya"
301,cbstm.org.in,"Cantonment Board, St.Thomas Mount cum Pallavaram, Tamil nadu"
302,cbwe.gov.in,Central Board for Workers Education (CBWE)
303,cca.ap.nic.in,"Principal Controller of Communication Accounts, Andhra Pradesh"
304,cca.gov.in,Controller of Certifying Authorities (CCA)
305,ccaasm.nic.in,"Controller of Communication Accounts (CCA), Assam"
306,ccabihar.gov.in,"Controller of Communication Accounts (CCA), Bihar"
307,ccachhattisgarh.nic.in,"Joint Controller of Communication Accounts, Chhattisgarh"
308,ccahealth.gov.in,"Office of the Chief Controller of Accounts, Ministry of Health and Family Welfare"
309,ccahp.nic.in,"Controller of Communication Accounts (CCA), Himachal Pradesh"
310,ccaind.nic.in,"Office of Chief Controller of Accounts, DIPP, Ministry of Commerce and Industry"
311,ccajharkhand.nic.in,"Controller of Communication Accounts, Jharkhand"
312,ccajk.gov.in,"Controller of Communication Accounts (CCA), Jammu and Kashmir"
313,ccakarnataka.gov.in,"Controller of Communication Accounts (CCA), Karnataka"
314,ccakolkata.gov.in,"Principal Controller of Communication Accounts (CCA), Kolkata"
315,ccamp.gov.in,"Controller of Communication Accounts, Madhya Pradesh Circle"
316,ccamp.res.in,"Centre for Cellular and Molecular Platforms (C-CAMP), Bangalore"
317,ccane1.nic.in,"Controller of Communication Accounts (CCA),  North East -1 Telecom Circle, Shillong"
318,ccaodisha.gov.in,"Controller of Communication Accounts (CCA), Odisha Circle, Bhubaneswar"
319,ccapunjab.gov.in,"Controller of Communication Accounts, Punjab"
320,ccarajasthan.gov.in,"Controller of Communication Accounts, Rajasthan Circle, Jaipur"
321,ccari.res.in,"Central Coastal Agricultural Research Institute, GOA"
322,ccatn.gov.in,"Controller of Communication Accounts, Tamil Nadu Circle"
323,ccauk.gov.in,"Controller of Communication Accounts (CCA), Uttarakhand"
324,ccaupeast.gov.in,"Controller of Communication Accounts, Uttar Pradesh (East), Lucknow"
325,ccaupwest.gov.in,"Controller of Communication Accounts, Uttar Pradesh (West) Telecom Circle"
326,ccdisabilities.nic.in,Chief Commissioner for Persons with Disabilities
327,ccejk.nic.in,"Customs and Central Excise Commissionerate,  Jammu and Kashmir"
328,ccestagra.gov.in,"Office of the Commissioner of Customs, Central Excise & Service Tax, Agra Commissionerat"
329,cchindia.com,"Central Council of Homoeopathy, Delhi"
330,cci.gov.in,Competition Commission of India
331,cciltd.in,Cement Corporation of India Limited (CCI)
332,ccimindia.org,"Central Council of Indian Medicine, New Delhi"
333,ccis.nic.in,Circular Management Information System
334,ccmb.res.in,Centre for Cellular and Molecular Biology (CCMB)
335,ccmt.in,"NIT Online Counseling, Centralized Counseling for M.Tech and M.plan, Jaipur"
336,ccobz.gov.in,"Office of the Chief  Commissioner, Customs, Central Excise & Service Tax, Bhopal Zone, Bhopal"
337,ccolkozone.gov.in,"Customs, Central Excise and Service Tax Zone, Lucknow"
338,ccovadodarazone.gov.in,"Central Excise, Customs & Service Tax Commissionerate, Vadodara Zone"
339,ccpmumbai.gov.in,"Commissioner of Customs (Preventive), Mumbai"
340,ccras.nic.in,Central Council for Research in Ayurveda and Siddha (CCRAS)
341,ccrhindia.nic.in,Central Council for Research in Homoeopathy (CCRH)
342,ccringp.org.in,"ICAR-Central Citrus Research Institute (CCRI), Nagpur, Maharashtra"
343,ccrtindia.gov.in,Centre for Cultural Resources and Training (CCRT)
344,ccrum.net,Central Council for Research in Unani Medicine (CCRUM)
345,ccryn.gov.in,"Central Council for Research in Yoga & Naturopathy (CCRYN), New Delhi"
346,ccsniam.gov.in,National Institute of Agricultural Marketing (NIAM)
347,ccwairprasarbharati.nic.in,"Civil Construction Wing, All India Radio"
348,cdaaf.nic.in,"Controller of Defence Accounts(Air Force), New Delhi"
349,cdaarmymeerut.nic.in,"Controller of Defence Accounts (Army), Meerut"
350,cdac.in,Centre for Development of Advanced Computing (C-DAC)
351,cdachennai.nic.in,"Controller of Defence Accounts, Chennai"
352,cdacmohali.in,"Centre for Development of Advanced Computing (C-DAC), Mohali"
353,cdacmumbai.in,"Centre for Development of Advanced Computing (C-DAC), Mumbai"
354,cdacnoida.in,"Centre for Development of Advanced Computing (C-DAC), Noida"
355,cdacsd.gov.in,Controller of Defence Accounts (Canteen Stores Department) and IFA
356,cdactvm.in,"Centre for Development of Advanced Computing (C-DAC), Thiruvananthapuram"
357,cdafunds.nic.in,"Controller of Defence Accounts (Funds), Meerut"
358,cdaguwahati.gov.in,"Controller Of Defence Accounts, Guwahati"
359,cdajabalpur.nic.in,"Controller of Defence Accounts, Jabalpur, Madhya Pradesh"
360,cdapatna.bih.nic.in,"Controller Of Defence Accounts (CDA), Patna, Bihar"
361,cdapdmeerut.gov.in,"Controller of Defence Accounts (Pension Disbursement), Meerut"
362,cdasecbad.ap.nic.in,"Controller of Defence Accounts(CDA) Secunderabad,"
363,cdc.org.in,"Consultancy Development Centre (CDC), DSIR "
364,cdfd.org.in,Centre for DNA Fingerprinting and Diagnostics (CDFD)
365,cdlkasauli.gov.in,"Central Drugs Laboratory, Kasauli"
366,cdm.ap.nic.in,College of Defence Management
367,cdot.in,Centre for Development of Telematics (C-DOT)
368,cdri.res.in,CSIR - Central Drug Research Institute (CDRI)
369,cdsco.gov.in,Central Drugs Standard Control Organization (CDSCO)
370,cdscomdonline.gov.in,"Online System for Medical Devices, Central Drugs Standard Control Organisation (CDSCO)"
371,cdscoonline.gov.in,"Central Drugs Standard Control Organization (CDSCO), Online Application for Licensing"
372,cdtschd.gov.in,"Central Detective Training School, Chandigarh"
373,cdtskolkata.nic.in,"Central Detective Training School, Kolkata"
374,cea.nic.in,Central Electricity Authority (CEA)
375,ceaclearance.gov.in,Central Electricity Authority(CEA) - Online Application for Inspection of Electrical Installations and DPR Approval Process Monitoring
