Domain_Name,Organization_Name
agricoop.gov.in,"Department of Agriculture, Cooperation and Farmers Welfare"
agriexchange.apeda.gov.in,"agriXchange -  Agricultural and Processed Food Products Export Development Authority (APEDA), New Delhi"
agrinnovateindia.co.in,Agrinnovate India
agskm.cag.gov.in,"Accountant General, Sikkim"
agtn.cag.gov.in,"Accountant General, Tamil Nadu"
agtrp.cag.gov.in,"Accountant General, Tripura"
agua.cag.gov.in,"Accountant General, Uttarakhand"
agup.cag.gov.in,"Accountant General , Uttar Pradesh"
agup.gov.in,"Accountant General, Uttar Pradesh and Uttaranchal"
agwb.cag.gov.in,"Accountants General, West Bengal"
ahmedabadcustoms.gov.in,Ahmedabad Customs
aicte-india.org,All India Council of Technical Education (AICTE)
aiihph.gov.in,All India Institute of Hygiene and Public Health (AIIH and PH)
aiims.edu,All India Institute of Medical Sciences (AIIMS)
aiimsbhopal.edu.in,"All India Institute of Medical Sciences (AIIMS), Bhopal"
aiimsbhubaneswar.edu.in,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar"
aiimsjodhpur.edu.in,"All India Institute of Medical Sciences (AIIMS), Jodhpur"
aiimspatna.org,"All India Institute of Medical Sciences (AIIMS), Patna"
aiimsraipur.edu.in,"All India Institute of Medical Sciences (AIIMS), Raipur"
aiimsrishikesh.edu.in,"All India Institute of Medical Sciences (AIIMS), Rishikesh"
aiipmr.gov.in,"All India Institute of Physical Medicine and Rehabilitation, Mumbai"
aiishmysore.in,"All India Institute of Speech and Hearing (AIISH), Mysore"
aim.gov.in,Atal Innovation Mission (AIM) by NITI Aayog
aipmt.nic.in,All India Pre-Medical and Pre-Dental Entrance Examination
aipvt.vci.nic.in,All India Pre-Veterinary Test (AIPVT) conducted by Veterinary Council of India (VCI)
airguwahati.gov.in,"All India Radio (AIR), Guwahati"
airindia.in,Air India Limited
airmenselection.gov.in,Central Airmen Selection Board (CASB)
airnsd.nic.in,News on AIR - Prasar Bharati
airpanaji.gov.in,"All India Radio (AIR), Panaji"
airsewa.gov.in,"AirSewa - Online Flight Details, Airport Information and Grievance Redressal"
aishe.nic.in,All India Survey on Higher Education
aistic.gov.in,"ASEAN-India Science, Technology & Innovation Cooperation, established jointly by MEA and DST"
akshayaposhan.gov.in,"Nutrition Resource Platform (NRP), Child Development and Nutrition Bureau"
alimco.in,"Artificial Limbs Manufacturing Corporation of India (ALIMCO), Kanpur, Uttar Pradesh"
allduniv.ac.in,University of Allahabad
allindiaradio.gov.in,All India Radio (AIR)
alttc.bsnl.co.in,Advanced Level Telecommunication Training Centre (ALTTC)
am.bsf.gov.in,"Assam and Meghalaya Frontier, Border Security Force (BSF)"
ambedkarfoundation.nic.in,Dr. Ambedkar Foundation
amd.gov.in,Atomic Minerals Directorate (AMD)
ampri.res.in,Advanced Materials and Processes Research Institute
amritsarcustoms.gov.in,"Customs Commissionerate Preventive, Amritsar"
amrut.gov.in,"Atal Mission for Rejuvenation and Urban Transformation (AMRUT), Govt. of India"
amssdelhi.gov.in,"Regional Meteorological Centre, New Delhi"
amu.ac.in,Aligarh Muslim University (AMU)
andaman-nicobar.bsnl.co.in,Andaman and Nicobar Telecom Circle
andrewyule.com,Andrew Yule Group
andssw1.and.nic.in,Andaman Lakshadweep Harbour Works (ALHW)
annavitran.nic.in,Annavitran - ePDS: Distribution of Food Grains Through Automated
ansi.gov.in,Anthropological Survey of India
antiragging.in,National Anti-Ragging Portal by University Grants Commission (UGC)
antrix.gov.in,Antrix Corporation Limited
ap.bsnl.co.in,Andhra Pradesh Telecom Circle
ap.nic.in,"Andhra Pradesh State Centre, National Informatics Centre (NIC)"
apcustoms.gov.in,"Customs Preventive Commissionerate, Vijayawada, Central Board of Excise and Customs"
apdrp.gov.in,"Restructured Accelerated Power Development and Reforms Programme (R-APDRP), Delhi"
apeda.gov.in,Agricultural and Processed Food Products Export Development Authority
apexhitech.gov.in,"Apex Hi-Tech Institute, Bangalore"
appcb.ap.nic.in,Andhra Pradesh Pollution Control Board
appost.in,"AP Postal Circle, Department of Posts"
apprentice-engineer.com,"Board of Apprenticeship Training, Western Region - eGovernance Portal"
arc.gov.in,2nd Administrative Reforms Commission (ARC)
arci.res.in,International Advanced Research Centre for Powder Metallurgy and New Materials
aries.res.in,Aryabhatta Research Institute of Observational Sciences (ARIES)
ariia.gov.in,Atal Ranking of Institutions on Innovation Achievements (ARIIA)
aripune.org,Agharkar Research Institute (ARI)
armyrecruitmentmp.nic.in,Headquarters Recruiting Zone Madhya Pradesh and Chhattisgarh
asi.nic.in,Archaeological Survey of India (ASI)
asiagracircle.in,"Archaeological Survey of India (ASI), Agra Circle"
asiaurangabad.in,"Archaeological Survey of India (ASI), Aurangabad Circle"
asibbsrcircle.in,"Archaeological Survey of India(ASI), Bhubaneswar Circle"
asibhopal.nic.in,"Archaeological Survey of India (ASI), Bhopal"
asichennai.gov.in,"Archaeological Survey of India (ASI), Chennai Circle"
asidehraduncircle.in,"Archaeological Survey of India (ASI), Dehradun Circle"
asidelhicircle.in,"Archaeological Survey of India (ASI), Delhi Circle"
asiegov.gov.in,"eGov Applications, Archaeological Survey of India (ASI)"
asiguwahaticircle.gov.in,"Archaeological Survey of India, Guwahati Circle"
asijaipurcircle.nic.in,"Archaeological Survey of India, Jaipur Circle"
asilucknowcircle.nic.in,"Archaeological Survey of India (ASI), Lucknow Circle"
asimumbaicircle.com,"Archaeological Survey of India (ASI), Mumbai Circle"
asipatnacircle.gov.in,"Archaeological Survey of India (ASI), Patna Circle"
asiranchi.org,"Archaeological Survey of India (ASI), Ranchi Circle"
asithrissurcircle.in,"Archaeological Survey of India (ASI), Thrissur Circle"
asrb.org.in,"Agricultural Scientists Recruitment Board (ASRB), New Delhi"
assam.bsnl.co.in,Assam Telecom Circle
assampost.gov.in,Assam Post Circle
assamrifles.gov.in,Assam Rifles
atfp.gov.in,Appellate Tribunal for Forfeited Property (ATFP)
atic-icarneh.nic.in,Agricultural Technology Information Centre (ATIC)
atiepidehradun.gov.in,"Advanced Training Institute for Electronics and Process Instrumentation, Dehradun"
atiepihyderabad.gov.in,"Advanced Training Institute for Electronics and Process Instrumentation, Hyderabad"
atihyderabad.ap.nic.in,"Advanced Training Institute (ATI), Hyderabad"
atimumbai.gov.in,"Advanced Training Institute, Mumbai"
attendance.gov.in,Aadhaar Enabled Biometric Attendance System (AEBAS)
attindiatourism.com,"India Tourism Development Corporation (ITDC), New Delhi"
aus.ac.in,Assam University
awbi.in,Animal Welfare Board of India (AWBI)
ayjnihh.nic.in,Ali Yavar Jung National Institute for the Hearing Handicapped (AYJNIHH)
ayurveduniversity.edu.in,Institute of Post Graduate Teaching and Research in Ayurveda
ayush.gov.in,Ministry of AYUSH
balmerlawrie.com,Balmer Lawrie and Company Limited
bangalorecustoms.gov.in,Bangalore Customs
bangaloretelecom.com,Bangalore Telecom District
barc.gov.in,Bhabha Atomic Research Centre (BARC)
bbjconst.com,"Braithwaite, Burn and  Jessop Construction Company Limited, West bengal"
bbjconst.com,The Braithwaite Burn and Jessop Construction Company Limited
bbmb.gov.in,Bhakra Beas Management Board (BBMB)
bbnl.nic.in,Bharat Broadband Network Limited (BBNL)
bbs.stpi.in,"Software Technology Parks of India (STPI), Bhubaneswar, Odisha"
bcasindia.gov.in,Bureau of Civil Aviation Security (BCAS)
bcb.gov.in,Bansagar Control Board (BCB)
bcil.nic.in,Biotech Consortium India Limited (BCIL)
bcplonline.co.in,"Brahmaputra Cracker and Polymer Limited (BCPL), Guwahati, Assam"
bdl-india.com,Bharat Dynamics Limited (BDL)
becil.com,Broadcasting Engineering Corporation of India Limited (BECIL)
beeindia.gov.in,Bureau of Energy Efficiency (BEE)
bel-india.com,Bharat Electronics Limited (BEL)
bemlindia.in,Bharat Earth Movers Limited (BEML)
bengalchemicals.gov.in,Bengal Chemicals and Pharmaceuticals Limited (BCPL)
bharat.gov.in,National Portal of India (Hindi Version)
bharatgeohub.gov.in,Survey of India GeoHub - Open GIS Data & the Tools to Visualize It
bharatkeveer.gov.in,Bharat Ke Veer - Make a contribution in honour of Indian Bravehearts
bharatkosh.gov.in,"Non-Tax Receipt Portal (NTRP), Controller General of Accounts"
bharatnirman-davp.gov.in,Bharat Nirman -  Directorate of Advertising and Visual Publicity (DAVP)
bharatpetroleum.in,Bharat Petroleum Corporation Limited (BPCL)
bharatskills.gov.in,Bharat Skills - a seamless platform for students and trainers of Industrial Training Institutes (ITIs)
bharatwagon.bih.nic.in,"Bharat Wagon and Engineering Company Limited (BWEL), Bihar"
bhavini.nic.in,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)
bhel.com,Bharat Heavy Electricals Limited (BHEL)
bhelbpl.co.in,"Bharat Heavy Electricals Limited(BHEL), Bhopal"
bhelceramics.com,"Bharat Heavy Electricals Limited (BHEL), Ceramic Business Unit, Bangalore"
bheledn.com,"Bharat Heavy Electricals Limited (BHEL), Electronics Division, Bangalore"
bhelherp.com,"Heavy Equipment Repair Plant, Bharat Heavy Electricals Limited (BHEL)"
bhelhwr.co.in,"Bharat Heavy Electricals Limited (BHEL), Haridwar"
bhelisg.com,"Bharat Heavy Electricals Limited (BHEL), Industrial Systems Group, Bangalore"
bheljhs.co.in,"Bharat Heavy Electricals Limited, Jhansi"
bhelpem.com,Bharat Heavy Electricals Limited(BHEL) - Project Engineering Management (PEM)
bhelpssr.co.in,"Bharat Heavy Electricals Limited (BHEL), Power Sector – Southern Region, Chennai"
bhelpswr.co.in,"Bharat Heavy Electricals Limited (BHEL), Power Sector  Western Region, Nagpur"
bheltry.co.in,"Bharat Heavy Electricals Limited(BHEL), Trichy"
bhilai.stpi.in,"Software Technology Parks of India (STPI), Bhilai, Chhattisgarh"
bhu.ac.in,"Institute of Medical Sciences,Banaras Hindu University, Varanasi"
bhuvan.nrsc.gov.in,Bhuvan - Gateway of Indian Earth Observation
bibcol.com,"Bharat Immunologicals and Biologicals Corporation Limited (BIBCOL), Uttar Pradesh"
bicnirrh.res.in,"Biomedical Informatics Centre, National Institute for Research in Reproductive Health (NIRRH)"
biecco.co.in,Biecco Lawrie Limited
bifr.nic.in,Board for Industrial and Financial Reconstruction (BIFR)
bihar.bsnl.co.in,Bihar Telecom Circle
bioinfcpcri.org,"Library and Bioinformatics Centre, CPCRI"
birac.nic.in,"Biotechnology Industry Research Assistance Council (BIRAC), New Delhi"
birdgroup.gov.in,Bird Group of Companies
bis.gov.in,Bureau of Indian Standards (BIS)
bla.bsf.gov.in,"Mizoram and Cachar Frontier, Border Security Force (BSF)"
blinv.com,"Balmer Lawrie Investments Limited, Kolkata"
blr.stpi.in,"Software Technology Parks of India (STPI), Bangalore, Karnataka"
blr.stpi.in,"Software Technology Parks of India (STPI), Mangalore, Karnataka"
bmrc.co.in,"Bangalore Metro Rail Corporation Limited, ShanthiNagar, Bangalore"
bmtpc.org,Building Materials and Technology Promotion Council (BMTPC)
bmwmindia.org,"Healthcare Establishment Waste Management and Education Programme (HEWMEP), CEE, New Delhi"
bnhsenvis.nic.in,"ENVIS Centre on Avian Ecology, Bombay Natural History Society (BNHS), Mumbai"
boatnr.org,"Board Of Apprenticeship Training, Northern Region, Kanpur"
boatsr-apprentice.tn.nic.in,"Board of Apprenticeship Training (Southern Region), Chennai"
boi.gov.in,"Bureau of Immigration (BoI), Ministry of Home Affairs"
booksaistadia.gov.in,Online Stadia Booking System by  Sports Authority of India (SAI)
bopter.gov.in,"Board of Practical Training (BOPT), Easter Region"
bpcnaini.co.in,"Bharat Pumps and Compressors Limited, Allahabad"
bprd.nic.in,Bureau of Police Research and Development (BPR&D)
bpu.res.in,"Bio-Processing Unit (BPU), Mohali, Punjab"
brahmaputraboard.gov.in,"Brahmaputra Board Guwahati, Assam"
braithwaiteindia.com,"Braithwaite and Co Limited, Ministry of Railways"
brb.nic.in,"Betwa River Board (BRB), Ministry of Water Resources, River Development and Ganga Rejuvenation"
brbraitt.bsnl.co.in,"Bharat Ratna Bhim Rao Ambedkar Institute of Telecom Training (BRBRAITT), Jabalpur"
brics2016.gov.in,"BRICS, 8th Summit, 15-16 October 2016, Goa, India"
bridgeroof.co.in,Bridge and Roof Company (India) Limited
briks.gov.in,"National Buildings Organisation (NBO), Building Related Information and Knowledge System"
britatom.gov.in,Board of Radiation and Isotope Technology (BRIT)
bro.gov.in,Border Roads Organisation (BRO)
broadcastseva.gov.in,Broadcast Seva Portal by  Ministry of Information and Broadcasting
bsf.gov.in,Border Security Force (BSF)
bsi.gov.in,Botanical Survey of India (BSI)
bsienvis.nic.in,"ENVIS Centre on Floral Diversity, Botanical Survey of India, West Bengal"
bsip.res.in,Birbal Sahni Institute of Palaeobotany
bsnl.co.in,Bharat Sanchar Nigam Limited Portal(BSNL)
bsu.bih.nic.in,"Bihar State Centre, National Informatics Centre (NIC)"
btisnet.gov.in,Biotechnology Information System Network (BTISNET)
btsso.gov.in,"Basic Tasar Silkworm Seed Organisation (BTSSO), Central Silk Board, Bilaspur, Chhattisgarh"
budgetlive.nic.in,Webcast of Hon'ble Finance Minister's Presentation of Union Budget in the Parliament
burnstandard.com,Burn Standard Company Limited (BSCL)
buvik.gov.in,"Bureau of Naviks (BUVIK),  Indian Coast Guard"
bvfcl.com,Brahmaputra Valley Fertilizer Corporation Limited (BVFCL)
caa.gov.in,Coastal Aquaculture Authority
cab.rbi.org.in,College of Agricultural Banking (CAB)
cabsec.gov.in,Cabinet Secretariat
cac.gov.in,Chief Adviser Cost
cachennai.gov.in,"Competent Authority (CA), Chennai"
cacp.dacnet.nic.in,Commission for Agricultural Costs and Prices (CACP)
cag.gov.in,"Comptroller and Auditor General (CAG) of India, Indian Audit and Accounts Department"
cairs.nic.in,"Chemical Accident Information and Reporting System (CAIRS), Delhi"
calcutta.bsnl.co.in,Kolkata Telephone Circle
caneinfo.icar.gov.in,"CaneInfo, Sugarcane Breeding Institute (SBI)"
canttboardjabalpur.org.in,"Cantonment Board, Jabalpur, Madhya Pradesh"
canttboardpachmarhi.org,"Cantonment Board, Pachmarhi, Madhya Pradesh"
caomod.gov.in,"Chief Administrative Officer, Ministry of Defence (CAOMOD)"
capart.nic.in,Council for Advancement of Peoples Action and Rural Technology (CAPART)
cara.nic.in,"Central Adoption Resource Authority (CARA), New Delhi"
careerairforce.gov.in,Indian Air Force - A Career Opportunity
casestatus.gov.in,Registrar of Newspapers for India - Online Application and Registration Status
cashlessindia.gov.in,Cashless India: Digital Payment Methods
casmbenvis.nic.in,ENVIS Centre Centre for Advanced Study in Marine Biology (CASMB)
cau.ac.in,"Central Agricultural University, Imphal, Manipur"
cazri.res.in,Central Arid Zone Research Institute (CAZRI)
cbaurangabad.in,"Cantonment Board, Aurangabad, Maharashtra"
cbdelhi.in,"Cantonment Board, Delhi"
cbdeolali.org.in,"Cantonment Board, Deolali, Maharashtra"
cbec-gst.gov.in,"Goods and Services Tax (GST), Central Board of Excise and Customs (CBEC)"
cbecddm.gov.in,"Directorate of Data Management, Central Board of Excise and Customs (CBECDDM), New Delhi"
cbfaizabad.org.in,"Cantonment Board, Faizabad, Uttar Pradesh"
cbfatehgarh.org.in,"Cantonment Board, Fatehgarh, Uttar Pradesh"
cbfcindia.gov.in,"Central Board of Film Certification (CBFC), Chennai"
cbhi-hsprod.nic.in,"Health Sector Policy Reform Options Darabase, Central Bureau of Health Intelligence (HS - PROD), New Delhi"
cbhidghs.gov.in,"Central Bureau of Health Intelligence, New Delhi"
cbi.gov.in,Central Bureau of Investigation (CBI)
cbiacademy.gov.in,"CBI Academy, Ghaziabad, Uttar Pradesh"
cbic-gst.gov.in,GST portal of Central Board of Indirect Taxes and Customs (CBIC)
cbic.gov.in,Central Board of Indirect Taxes and Customs (CBIC)
cbjalandhar.org.in,"Cantonment Board, Jalandhar, Punjab"
cbkamptee.org,"Cantonment Board, Kamptee, Maharashtra"
cbkanpur.org.in,"Cantonment Board, Kanpur, Uttar Pradesh"
cblucknow.org.in,"Cantonment Board, Lucknow, Uttar Pradesh"
cbn.nic.in,Central Bureau of Narcotics
cbri.res.in,Central Building Research Institute (CBRI)
cbrienvis.nic.in,"ENVIS Centre at Central Building Research Institute (CBRI), Roorkee"
cbse.gov.in,Central Board of Secondary Education (CBSE)
cbseaff.nic.in,eAffiliation System for School - Central Board of Secondary Education (CBSE)
cbseresults.nic.in,CBSE Exam Results
cbshillong.org.in,"Cantonment Board, Shillong, Meghalaya"
cbstm.org.in,"Cantonment Board, St.Thomas Mount cum Pallavaram, Tamil nadu"
cbwe.gov.in,Central Board for Workers Education (CBWE)
cca.ap.nic.in,"Principal Controller of Communication Accounts, Andhra Pradesh"
cca.gov.in,Controller of Certifying Authorities (CCA)
ccaasm.nic.in,"Controller of Communication Accounts (CCA), Assam"
ccabihar.gov.in,"Controller of Communication Accounts (CCA), Bihar"
ccachhattisgarh.nic.in,"Joint Controller of Communication Accounts, Chhattisgarh"
ccahealth.gov.in,"Office of the Chief Controller of Accounts, Ministry of Health and Family Welfare"
ccahp.nic.in,"Controller of Communication Accounts (CCA), Himachal Pradesh"
ccaind.nic.in,"Office of Chief Controller of Accounts, DIPP, Ministry of Commerce and Industry"
ccajharkhand.nic.in,"Controller of Communication Accounts, Jharkhand"
ccajk.gov.in,"Controller of Communication Accounts (CCA), Jammu and Kashmir"
ccakarnataka.gov.in,"Controller of Communication Accounts (CCA), Karnataka"
ccakolkata.gov.in,"Principal Controller of Communication Accounts (CCA), Kolkata"
ccamp.gov.in,"Controller of Communication Accounts, Madhya Pradesh Circle"
ccamp.res.in,"Centre for Cellular and Molecular Platforms (C-CAMP), Bangalore"
ccane1.nic.in,"Controller of Communication Accounts (CCA),  North East -1 Telecom Circle, Shillong"
ccaodisha.gov.in,"Controller of Communication Accounts (CCA), Odisha Circle, Bhubaneswar"
ccapunjab.gov.in,"Controller of Communication Accounts, Punjab"
ccarajasthan.gov.in,"Controller of Communication Accounts, Rajasthan Circle, Jaipur"
ccari.res.in,"Central Coastal Agricultural Research Institute, GOA"
ccatn.gov.in,"Controller of Communication Accounts, Tamil Nadu Circle"
ccauk.gov.in,"Controller of Communication Accounts (CCA), Uttarakhand"
ccaupeast.gov.in,"Controller of Communication Accounts, Uttar Pradesh (East), Lucknow"
ccaupwest.gov.in,"Controller of Communication Accounts, Uttar Pradesh (West) Telecom Circle"
ccdisabilities.nic.in,Chief Commissioner for Persons with Disabilities
ccejk.nic.in,"Customs and Central Excise Commissionerate,  Jammu and Kashmir"
ccestagra.gov.in,"Office of the Commissioner of Customs, Central Excise & Service Tax, Agra Commissionerat"
cchindia.com,"Central Council of Homoeopathy, Delhi"
cci.gov.in,Competition Commission of India
cciltd.in,Cement Corporation of India Limited (CCI)
ccimindia.org,"Central Council of Indian Medicine, New Delhi"
ccis.nic.in,Circular Management Information System
ccmb.res.in,Centre for Cellular and Molecular Biology (CCMB)
ccmt.in,"NIT Online Counseling, Centralized Counseling for M.Tech and M.plan, Jaipur"
ccobz.gov.in,"Office of the Chief  Commissioner, Customs, Central Excise & Service Tax, Bhopal Zone, Bhopal"
ccolkozone.gov.in,"Customs, Central Excise and Service Tax Zone, Lucknow"
ccovadodarazone.gov.in,"Central Excise, Customs & Service Tax Commissionerate, Vadodara Zone"
ccpmumbai.gov.in,"Commissioner of Customs (Preventive), Mumbai"
ccras.nic.in,Central Council for Research in Ayurveda and Siddha (CCRAS)
ccrhindia.nic.in,Central Council for Research in Homoeopathy (CCRH)
ccringp.org.in,"ICAR-Central Citrus Research Institute (CCRI), Nagpur, Maharashtra"
ccrtindia.gov.in,Centre for Cultural Resources and Training (CCRT)
ccrum.net,Central Council for Research in Unani Medicine (CCRUM)
ccryn.gov.in,"Central Council for Research in Yoga & Naturopathy (CCRYN), New Delhi"
ccsniam.gov.in,National Institute of Agricultural Marketing (NIAM)
ccwairprasarbharati.nic.in,"Civil Construction Wing, All India Radio"
cdaaf.nic.in,"Controller of Defence Accounts(Air Force), New Delhi"
cdaarmymeerut.nic.in,"Controller of Defence Accounts (Army), Meerut"
cdac.in,Centre for Development of Advanced Computing (C-DAC)
cdac.in,"C-DAC - Advanced Computing Training School (ACTS), Pune"
cdachennai.nic.in,"Controller of Defence Accounts, Chennai"
cdacmohali.in,"Centre for Development of Advanced Computing (C-DAC), Mohali"
cdacmumbai.in,"Centre for Development of Advanced Computing (C-DAC), Mumbai"
cdacnoida.in,"Centre for Development of Advanced Computing (C-DAC), Noida"
cdacsd.gov.in,Controller of Defence Accounts (Canteen Stores Department) and IFA
cdactvm.in,"Centre for Development of Advanced Computing (C-DAC), Thiruvananthapuram"
cdafunds.nic.in,"Controller of Defence Accounts (Funds), Meerut"
cdaguwahati.gov.in,"Controller Of Defence Accounts, Guwahati"
cdajabalpur.nic.in,"Controller of Defence Accounts, Jabalpur, Madhya Pradesh"
cdapatna.bih.nic.in,"Controller Of Defence Accounts (CDA), Patna, Bihar"
cdapdmeerut.gov.in,"Controller of Defence Accounts (Pension Disbursement), Meerut"
cdasecbad.ap.nic.in,"Controller of Defence Accounts(CDA) Secunderabad,"
cdc.org.in,"Consultancy Development Centre (CDC), DSIR "
cdfd.org.in,Centre for DNA Fingerprinting and Diagnostics (CDFD)
cdlkasauli.gov.in,"Central Drugs Laboratory, Kasauli"
cdm.ap.nic.in,College of Defence Management
cdot.in,Centre for Development of Telematics (C-DOT)
cdri.res.in,CSIR - Central Drug Research Institute (CDRI)
cdsco.gov.in,Central Drugs Standard Control Organization (CDSCO)
cdscomdonline.gov.in,"Online System for Medical Devices, Central Drugs Standard Control Organisation (CDSCO)"
cdscoonline.gov.in,"Central Drugs Standard Control Organization (CDSCO), Online Application for Licensing"
cdtschd.gov.in,"Central Detective Training School, Chandigarh"
cdtskolkata.nic.in,"Central Detective Training School, Kolkata"
cea.nic.in,Central Electricity Authority (CEA)
ceaclearance.gov.in,Central Electricity Authority(CEA) - Online Application for Inspection of Electrical Installations and DPR Approval Process Monitoring
cec.nic.in,Consortium for Educational Communication (CEC)
cecri.res.in,Central Electro Chemical Research Institute (CECRI)
cedzsewa.gov.in,"Chief Engineer Delhi Zone, Military Engineer Services"
ceeri.res.in,Central Electronics Engineering Research Institute
ceib.gov.in,Central Economic Intelligence Bureau (CEIB)
ceil.co.in,Certification Engineers International Limited
celindia.co.in,Central Electronics Limited
cem.sameer.gov.in,"SAMEER - Centre for Electromagnetics (CEM), Chennai"
cen.bsf.gov.in,"Central Workshop and Stores, Border Security Force (BSF)"
cenexahmedabad.nic.in,"Central Excise, Ahmedabad  I"
cenexbhavnagar.nic.in,"Central Board of Excise and Customs (CBEC), Bhavnagar"
cenexcisekochi.gov.in,"Central Excise, Service Tax and Customs, Cochin"
cenexcisenagpur.nic.in,"Customs and Central Excise Commissionerate, Nagpur"
cenexcisetvm.gov.in,"Central Excise, Customs & Service Tax Commissionerate, Thiruvananthapuram"
cenexcisevizag2.gov.in,"Customs, Central Excise and Service Tax Commissionerate, Kakinada (Visakhapatnam – II)"
cenexgstvizag1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Visakhapatnam – I"
cenexkovai.tn.nic.in,"Central Excise, Coimbatore"
cenjows.gov.in,Centre for Joint Warfare Studies (CENJOWS)
